ticket_no,request_id,requestor_seniority,filed_against,ticket_type,severity,priority,max_day,severity_score,priority_score,risk_score,high_risk
7364,1379,3 - Senior,Systems,Request,2 - Normal,3 - High,13,2,3,29,1
7365,1399,2 - Regular,Software,Issue,2 - Normal,2 - Medium,11,2,2,24,1
7366,592,3 - Senior,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7367,632,2 - Regular,Systems,Request,2 - Normal,2 - Medium,7,2,2,16,1
7368,1921,3 - Senior,Software,Request,2 - Normal,3 - High,7,2,3,17,1
7369,1059,2 - Regular,Software,Request,2 - Normal,1 - Low,10,2,1,21,1
7370,551,4 - Management,Systems,Request,2 - Normal,3 - High,10,2,3,23,1
7371,777,1 - Junior,Systems,Request,2 - Normal,3 - High,18,2,3,39,1
7372,1979,4 - Management,Systems,Request,2 - Normal,3 - High,6,2,3,15,1
7373,1827,1 - Junior,Software,Request,2 - Normal,1 - Low,17,2,1,35,1
7374,297,1 - Junior,Software,Request,2 - Normal,0 - Unassigned,18,2,0,36,1
7375,1846,2 - Regular,Hardware,Request,2 - Normal,2 - Medium,11,2,2,24,1
7376,1092,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
7377,1585,3 - Senior,Systems,Issue,2 - Normal,3 - High,1,2,3,5,0
7378,11,2 - Regular,Systems,Issue,2 - Normal,3 - High,1,2,3,5,0
7379,357,2 - Regular,Access/Login,Issue,2 - Normal,3 - High,0,2,3,3,0
7380,1395,2 - Regular,Software,Request,2 - Normal,1 - Low,6,2,1,13,1
7381,728,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
7382,1583,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,0,2,1,1,0
7383,278,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7384,1897,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7385,1499,4 - Management,Systems,Request,2 - Normal,3 - High,6,2,3,15,1
7386,414,3 - Senior,Hardware,Request,2 - Normal,3 - High,28,2,3,59,1
7387,752,2 - Regular,Systems,Request,2 - Normal,2 - Medium,25,2,2,52,1
7388,1160,3 - Senior,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7389,1722,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,18,2,0,36,1
7390,714,3 - Senior,Hardware,Request,2 - Normal,3 - High,27,2,3,57,1
7391,1740,3 - Senior,Systems,Issue,4 - Critical,0 - Unassigned,7,4,0,28,1
7392,1723,4 - Management,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7393,1266,1 - Junior,Systems,Issue,2 - Normal,1 - Low,3,2,1,7,0
7394,986,2 - Regular,Access/Login,Request,2 - Normal,3 - High,1,2,3,5,0
7395,1377,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
7396,5,2 - Regular,Systems,Request,2 - Normal,2 - Medium,7,2,2,16,1
7397,1804,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,24,2,0,48,1
7398,1687,1 - Junior,Systems,Request,2 - Normal,1 - Low,16,2,1,33,1
7399,1126,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,0,2,1,1,0
7400,1160,3 - Senior,Access/Login,Issue,2 - Normal,3 - High,0,2,3,3,0
7401,254,1 - Junior,Hardware,Request,2 - Normal,0 - Unassigned,17,2,0,34,1
7402,588,4 - Management,Systems,Issue,2 - Normal,0 - Unassigned,4,2,0,8,0
7403,136,1 - Junior,Access/Login,Issue,2 - Normal,1 - Low,1,2,1,3,0
7404,261,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7405,128,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
7406,636,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,16,2,0,32,1
7407,508,3 - Senior,Hardware,Request,2 - Normal,3 - High,12,2,3,27,1
7408,1461,2 - Regular,Hardware,Request,2 - Normal,0 - Unassigned,33,2,0,66,1
7409,653,1 - Junior,Hardware,Request,2 - Normal,0 - Unassigned,32,2,0,64,1
7410,96,4 - Management,Systems,Request,2 - Normal,3 - High,9,2,3,21,1
7411,820,2 - Regular,Software,Request,2 - Normal,1 - Low,5,2,1,11,1
7412,1711,4 - Management,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
7413,244,1 - Junior,Systems,Request,2 - Normal,3 - High,33,2,3,69,1
7414,1844,2 - Regular,Software,Request,2 - Normal,3 - High,3,2,3,9,0
7415,1884,2 - Regular,Hardware,Request,2 - Normal,2 - Medium,29,2,2,60,1
7416,125,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
7417,740,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,6,2,0,12,1
7418,1104,1 - Junior,Systems,Request,2 - Normal,3 - High,10,2,3,23,1
7419,296,4 - Management,Systems,Request,2 - Normal,3 - High,14,2,3,31,1
7420,713,4 - Management,Systems,Request,2 - Normal,3 - High,18,2,3,39,1
7421,1336,2 - Regular,Access/Login,Request,3 - Major,1 - Low,1,3,1,4,0
7422,1695,1 - Junior,Software,Request,2 - Normal,2 - Medium,6,2,2,14,1
7423,988,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
7424,894,2 - Regular,Software,Request,2 - Normal,2 - Medium,3,2,2,8,0
7425,1168,2 - Regular,Systems,Request,2 - Normal,3 - High,7,2,3,17,1
7426,1536,2 - Regular,Software,Request,2 - Normal,2 - Medium,13,2,2,28,1
7427,1014,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,17,2,0,34,1
7428,1317,4 - Management,Systems,Request,3 - Major,3 - High,20,3,3,63,1
7429,1862,2 - Regular,Systems,Issue,2 - Normal,0 - Unassigned,12,2,0,24,1
7430,1414,1 - Junior,Systems,Issue,2 - Normal,2 - Medium,2,2,2,6,0
7431,480,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,6,2,0,12,1
7432,183,2 - Regular,Systems,Request,3 - Major,3 - High,15,3,3,48,1
7433,990,3 - Senior,Systems,Issue,2 - Normal,2 - Medium,8,2,2,18,1
7434,1776,4 - Management,Systems,Issue,2 - Normal,3 - High,5,2,3,13,1
7435,1425,4 - Management,Hardware,Issue,2 - Normal,0 - Unassigned,17,2,0,34,1
7436,1027,1 - Junior,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7437,999,4 - Management,Systems,Request,2 - Normal,3 - High,7,2,3,17,1
7438,940,2 - Regular,Systems,Request,2 - Normal,2 - Medium,13,2,2,28,1
7439,9,4 - Management,Systems,Request,2 - Normal,3 - High,10,2,3,23,1
7440,1108,4 - Management,Systems,Issue,2 - Normal,3 - High,6,2,3,15,1
7441,1685,2 - Regular,Software,Issue,2 - Normal,0 - Unassigned,3,2,0,6,0
7442,1088,2 - Regular,Hardware,Request,2 - Normal,3 - High,12,2,3,27,1
7443,633,4 - Management,Systems,Request,2 - Normal,3 - High,5,2,3,13,1
7444,968,2 - Regular,Access/Login,Request,2 - Normal,3 - High,1,2,3,5,0
7445,218,2 - Regular,Hardware,Issue,2 - Normal,0 - Unassigned,8,2,0,16,1
7446,1889,4 - Management,Hardware,Issue,2 - Normal,3 - High,6,2,3,15,1
7447,550,1 - Junior,Systems,Issue,2 - Normal,0 - Unassigned,3,2,0,6,0
7448,309,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
7449,32,2 - Regular,Hardware,Request,3 - Major,3 - High,27,3,3,84,1
7450,1011,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,7,2,0,14,1
7451,1751,3 - Senior,Systems,Issue,2 - Normal,0 - Unassigned,5,2,0,10,0
7452,1895,1 - Junior,Systems,Request,0 - Unclassified,2 - Medium,8,0,2,2,0
7453,768,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,1,2,1,3,0
7454,376,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,8,2,0,16,1
7455,1152,4 - Management,Systems,Request,2 - Normal,3 - High,6,2,3,15,1
7456,188,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,0,2,1,1,0
7457,1423,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,4,2,0,8,0
7458,955,1 - Junior,Access/Login,Issue,2 - Normal,2 - Medium,0,2,2,2,0
7459,485,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,7,2,0,14,1
7460,1668,1 - Junior,Access/Login,Request,2 - Normal,2 - Medium,1,2,2,4,0
7461,1764,3 - Senior,Access/Login,Issue,2 - Normal,3 - High,0,2,3,3,0
7462,1212,4 - Management,Software,Request,2 - Normal,3 - High,13,2,3,29,1
7463,461,4 - Management,Hardware,Request,2 - Normal,0 - Unassigned,26,2,0,52,1
7464,1032,1 - Junior,Systems,Issue,2 - Normal,0 - Unassigned,4,2,0,8,0
7465,253,3 - Senior,Software,Request,2 - Normal,0 - Unassigned,7,2,0,14,1
7466,1780,3 - Senior,Systems,Request,2 - Normal,2 - Medium,16,2,2,34,1
7467,1537,2 - Regular,Access/Login,Issue,3 - Major,2 - Medium,0,3,2,2,0
7468,1743,3 - Senior,Software,Request,2 - Normal,0 - Unassigned,2,2,0,4,0
7469,1613,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,1,2,0,2,0
7470,1842,2 - Regular,Software,Issue,2 - Normal,0 - Unassigned,0,2,0,0,0
7471,538,1 - Junior,Systems,Request,2 - Normal,1 - Low,8,2,1,17,1
7472,1148,2 - Regular,Systems,Request,2 - Normal,3 - High,17,2,3,37,1
7473,827,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7474,1628,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,6,2,0,12,1
7475,557,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,1,2,0,2,0
7476,1735,1 - Junior,Systems,Issue,2 - Normal,1 - Low,11,2,1,23,1
7477,1953,2 - Regular,Software,Issue,4 - Critical,2 - Medium,10,4,2,42,1
7478,1933,3 - Senior,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
7479,1530,3 - Senior,Access/Login,Request,2 - Normal,1 - Low,1,2,1,3,0
7480,1345,2 - Regular,Hardware,Request,2 - Normal,2 - Medium,13,2,2,28,1
7481,803,1 - Junior,Systems,Request,2 - Normal,1 - Low,24,2,1,49,1
7482,1634,2 - Regular,Hardware,Request,2 - Normal,1 - Low,35,2,1,71,1
7483,1550,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,20,2,0,40,1
7484,395,4 - Management,Access/Login,Issue,1 - Minor,0 - Unassigned,0,1,0,0,0
7485,1744,4 - Management,Hardware,Request,2 - Normal,0 - Unassigned,12,2,0,24,1
7486,1603,1 - Junior,Hardware,Request,2 - Normal,1 - Low,31,2,1,63,1
7487,1914,3 - Senior,Hardware,Request,2 - Normal,3 - High,26,2,3,55,1
7488,133,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
7489,58,1 - Junior,Systems,Request,2 - Normal,2 - Medium,23,2,2,48,1
7490,732,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
7491,1797,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,14,2,0,28,1
7492,88,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
7493,1313,1 - Junior,Software,Request,2 - Normal,2 - Medium,10,2,2,22,1
7494,292,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
7495,6,3 - Senior,Access/Login,Request,3 - Major,3 - High,0,3,3,3,0
7496,608,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
7497,927,3 - Senior,Systems,Request,2 - Normal,3 - High,8,2,3,19,1
7498,895,3 - Senior,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
7499,760,3 - Senior,Hardware,Request,2 - Normal,2 - Medium,35,2,2,72,1
7500,1940,4 - Management,Access/Login,Request,3 - Major,3 - High,0,3,3,3,0
7501,1966,2 - Regular,Access/Login,Issue,2 - Normal,3 - High,0,2,3,3,0
7502,1226,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7503,231,4 - Management,Systems,Request,2 - Normal,3 - High,8,2,3,19,1
7504,1585,3 - Senior,Systems,Request,1 - Minor,3 - High,9,1,3,12,1
7505,853,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
7506,1678,4 - Management,Access/Login,Issue,2 - Normal,3 - High,0,2,3,3,0
7507,704,2 - Regular,Systems,Issue,2 - Normal,1 - Low,5,2,1,11,1
7508,1587,2 - Regular,Systems,Request,2 - Normal,1 - Low,7,2,1,15,1
7509,647,1 - Junior,Software,Issue,2 - Normal,0 - Unassigned,15,2,0,30,1
7510,739,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
7511,1767,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
7512,1217,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
7513,60,4 - Management,Systems,Request,2 - Normal,3 - High,8,2,3,19,1
7514,58,1 - Junior,Software,Issue,2 - Normal,3 - High,10,2,3,23,1
7515,1870,4 - Management,Access/Login,Issue,2 - Normal,3 - High,1,2,3,5,0
7516,1570,1 - Junior,Access/Login,Request,3 - Major,1 - Low,0,3,1,1,0
7517,1984,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,2,2,0,4,0
7518,1868,2 - Regular,Access/Login,Request,3 - Major,2 - Medium,0,3,2,2,0
7519,1448,2 - Regular,Systems,Issue,2 - Normal,3 - High,5,2,3,13,1
7520,486,4 - Management,Software,Issue,2 - Normal,3 - High,1,2,3,5,0
7521,1761,2 - Regular,Systems,Request,2 - Normal,3 - High,7,2,3,17,1
7522,1721,1 - Junior,Systems,Request,2 - Normal,1 - Low,22,2,1,45,1
7523,1602,3 - Senior,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7524,814,3 - Senior,Systems,Request,2 - Normal,3 - High,5,2,3,13,1
7525,545,1 - Junior,Software,Issue,2 - Normal,1 - Low,1,2,1,3,0
7526,1426,4 - Management,Software,Request,2 - Normal,0 - Unassigned,15,2,0,30,1
7527,952,2 - Regular,Systems,Request,2 - Normal,2 - Medium,6,2,2,14,1
7528,516,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
7529,520,2 - Regular,Systems,Request,2 - Normal,3 - High,6,2,3,15,1
7530,85,2 - Regular,Software,Request,2 - Normal,3 - High,6,2,3,15,1
7531,1927,2 - Regular,Systems,Request,2 - Normal,3 - High,12,2,3,27,1
7532,1622,2 - Regular,Systems,Issue,2 - Normal,0 - Unassigned,1,2,0,2,0
7533,1092,2 - Regular,Systems,Request,2 - Normal,1 - Low,9,2,1,19,1
7534,1564,4 - Management,Software,Request,2 - Normal,3 - High,5,2,3,13,1
7535,1334,3 - Senior,Access/Login,Issue,2 - Normal,0 - Unassigned,0,2,0,0,0
7536,1406,3 - Senior,Systems,Request,2 - Normal,3 - High,13,2,3,29,1
7537,210,3 - Senior,Software,Request,2 - Normal,3 - High,6,2,3,15,1
7538,769,3 - Senior,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7539,867,3 - Senior,Systems,Request,2 - Normal,3 - High,15,2,3,33,1
7540,406,4 - Management,Systems,Request,2 - Normal,3 - High,7,2,3,17,1
7541,495,4 - Management,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7542,1013,4 - Management,Software,Request,2 - Normal,3 - High,2,2,3,7,0
7543,1969,3 - Senior,Access/Login,Issue,2 - Normal,0 - Unassigned,0,2,0,0,0
7544,333,2 - Regular,Systems,Request,2 - Normal,3 - High,9,2,3,21,1
7545,716,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,1,2,0,2,0
7546,1039,4 - Management,Systems,Issue,2 - Normal,3 - High,3,2,3,9,0
7547,1398,4 - Management,Software,Request,2 - Normal,3 - High,4,2,3,11,1
7548,1629,3 - Senior,Hardware,Request,2 - Normal,3 - High,13,2,3,29,1
7549,1126,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
7550,576,3 - Senior,Systems,Issue,2 - Normal,0 - Unassigned,5,2,0,10,0
7551,389,2 - Regular,Access/Login,Issue,2 - Normal,2 - Medium,0,2,2,2,0
7552,674,3 - Senior,Access/Login,Issue,2 - Normal,2 - Medium,0,2,2,2,0
7553,1645,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,12,2,0,24,1
7554,1733,3 - Senior,Systems,Issue,2 - Normal,1 - Low,2,2,1,5,0
7555,1751,3 - Senior,Systems,Issue,2 - Normal,0 - Unassigned,7,2,0,14,1
7556,523,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,1,2,1,3,0
7557,1799,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
7558,706,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7559,1250,2 - Regular,Access/Login,Issue,2 - Normal,3 - High,0,2,3,3,0
7560,189,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,1,2,0,2,0
7561,1789,2 - Regular,Software,Request,2 - Normal,1 - Low,3,2,1,7,0
7562,1450,2 - Regular,Systems,Issue,2 - Normal,2 - Medium,5,2,2,12,1
7563,457,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,7,2,0,14,1
7564,1495,2 - Regular,Systems,Request,2 - Normal,1 - Low,14,2,1,29,1
7565,678,3 - Senior,Systems,Issue,2 - Normal,0 - Unassigned,14,2,0,28,1
7566,1899,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
7567,1291,1 - Junior,Systems,Request,2 - Normal,1 - Low,14,2,1,29,1
7568,98,2 - Regular,Hardware,Request,2 - Normal,1 - Low,30,2,1,61,1
7569,1359,3 - Senior,Systems,Issue,2 - Normal,0 - Unassigned,4,2,0,8,0
7570,261,2 - Regular,Systems,Issue,2 - Normal,1 - Low,3,2,1,7,0
7571,1021,2 - Regular,Access/Login,Issue,2 - Normal,0 - Unassigned,0,2,0,0,0
7572,102,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,14,2,0,28,1
7573,485,4 - Management,Systems,Issue,2 - Normal,3 - High,8,2,3,19,1
7574,1554,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,0,2,1,1,0
7575,709,2 - Regular,Systems,Issue,2 - Normal,1 - Low,4,2,1,9,0
7576,471,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
7577,611,2 - Regular,Systems,Issue,2 - Normal,0 - Unassigned,3,2,0,6,0
7578,1205,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,6,2,0,12,1
7579,216,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
7580,1804,3 - Senior,Software,Request,2 - Normal,3 - High,5,2,3,13,1
7581,1518,2 - Regular,Hardware,Issue,3 - Major,0 - Unassigned,22,3,0,66,1
7582,1280,4 - Management,Systems,Request,2 - Normal,3 - High,17,2,3,37,1
7583,242,4 - Management,Systems,Request,2 - Normal,3 - High,5,2,3,13,1
7584,782,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,6,2,0,12,1
7585,112,3 - Senior,Systems,Request,2 - Normal,3 - High,13,2,3,29,1
7586,1871,4 - Management,Systems,Request,2 - Normal,3 - High,5,2,3,13,1
7587,1539,1 - Junior,Systems,Request,2 - Normal,1 - Low,6,2,1,13,1
7588,1292,1 - Junior,Software,Issue,2 - Normal,0 - Unassigned,6,2,0,12,1
7589,28,3 - Senior,Access/Login,Request,2 - Normal,2 - Medium,1,2,2,4,0
7590,225,1 - Junior,Software,Request,2 - Normal,2 - Medium,15,2,2,32,1
7591,291,1 - Junior,Software,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
7592,1489,3 - Senior,Access/Login,Issue,0 - Unclassified,3 - High,0,0,3,3,0
7593,585,4 - Management,Access/Login,Issue,2 - Normal,3 - High,0,2,3,3,0
7594,1875,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,7,2,0,14,1
7595,1991,2 - Regular,Software,Request,2 - Normal,3 - High,5,2,3,13,1
7596,1259,1 - Junior,Software,Request,2 - Normal,2 - Medium,16,2,2,34,1
7597,1831,3 - Senior,Systems,Request,2 - Normal,3 - High,8,2,3,19,1
7598,1705,2 - Regular,Systems,Request,2 - Normal,2 - Medium,5,2,2,12,1
7599,429,4 - Management,Systems,Issue,4 - Critical,2 - Medium,9,4,2,38,1
7600,823,1 - Junior,Systems,Issue,2 - Normal,1 - Low,1,2,1,3,0
7601,393,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
7602,1556,4 - Management,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7603,600,4 - Management,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
7604,469,2 - Regular,Software,Request,2 - Normal,1 - Low,7,2,1,15,1
7605,896,2 - Regular,Access/Login,Request,3 - Major,2 - Medium,0,3,2,2,0
7606,1475,2 - Regular,Systems,Request,2 - Normal,3 - High,6,2,3,15,1
7607,1006,4 - Management,Hardware,Issue,2 - Normal,0 - Unassigned,7,2,0,14,1
7608,1227,2 - Regular,Systems,Request,2 - Normal,3 - High,7,2,3,17,1
7609,1552,1 - Junior,Systems,Issue,2 - Normal,1 - Low,4,2,1,9,0
7610,698,4 - Management,Systems,Request,2 - Normal,3 - High,7,2,3,17,1
7611,283,2 - Regular,Systems,Issue,1 - Minor,3 - High,1,1,3,4,0
7612,1717,3 - Senior,Software,Request,3 - Major,3 - High,13,3,3,42,1
7613,573,2 - Regular,Access/Login,Issue,2 - Normal,0 - Unassigned,0,2,0,0,0
7614,369,3 - Senior,Systems,Request,2 - Normal,3 - High,7,2,3,17,1
7615,1533,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,7,2,0,14,1
7616,208,2 - Regular,Systems,Request,2 - Normal,1 - Low,6,2,1,13,1
7617,1172,2 - Regular,Systems,Issue,2 - Normal,2 - Medium,6,2,2,14,1
7618,60,4 - Management,Systems,Request,2 - Normal,3 - High,7,2,3,17,1
7619,1430,4 - Management,Hardware,Issue,2 - Normal,3 - High,12,2,3,27,1
7620,141,3 - Senior,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7621,1677,2 - Regular,Software,Request,2 - Normal,2 - Medium,6,2,2,14,1
7622,1590,4 - Management,Access/Login,Request,2 - Normal,3 - High,1,2,3,5,0
7623,754,2 - Regular,Systems,Issue,2 - Normal,3 - High,1,2,3,5,0
7624,1411,4 - Management,Systems,Request,2 - Normal,3 - High,15,2,3,33,1
7625,1684,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7626,1010,3 - Senior,Software,Request,2 - Normal,0 - Unassigned,3,2,0,6,0
7627,1663,4 - Management,Software,Request,2 - Normal,3 - High,9,2,3,21,1
7628,339,2 - Regular,Software,Issue,2 - Normal,1 - Low,1,2,1,3,0
7629,1158,3 - Senior,Systems,Request,2 - Normal,2 - Medium,6,2,2,14,1
7630,1753,1 - Junior,Software,Request,2 - Normal,0 - Unassigned,16,2,0,32,1
7631,452,2 - Regular,Systems,Request,2 - Normal,1 - Low,6,2,1,13,1
7632,743,4 - Management,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7633,519,3 - Senior,Hardware,Issue,2 - Normal,0 - Unassigned,6,2,0,12,1
7634,649,2 - Regular,Access/Login,Issue,2 - Normal,1 - Low,0,2,1,1,0
7635,1545,3 - Senior,Systems,Request,2 - Normal,3 - High,5,2,3,13,1
7636,1269,2 - Regular,Access/Login,Issue,2 - Normal,3 - High,0,2,3,3,0
7637,747,4 - Management,Systems,Issue,2 - Normal,3 - High,9,2,3,21,1
7638,1983,1 - Junior,Hardware,Request,2 - Normal,3 - High,30,2,3,63,1
7639,1944,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
7640,293,4 - Management,Systems,Issue,2 - Normal,3 - High,3,2,3,9,0
7641,817,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
7642,880,2 - Regular,Software,Request,2 - Normal,2 - Medium,9,2,2,20,1
7643,1465,2 - Regular,Systems,Issue,2 - Normal,3 - High,3,2,3,9,0
7644,761,1 - Junior,Access/Login,Issue,2 - Normal,0 - Unassigned,0,2,0,0,0
7645,991,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7646,185,2 - Regular,Hardware,Request,2 - Normal,1 - Low,36,2,1,73,1
7647,857,2 - Regular,Systems,Request,2 - Normal,2 - Medium,5,2,2,12,1
7648,1472,4 - Management,Systems,Issue,2 - Normal,3 - High,3,2,3,9,0
7649,415,3 - Senior,Systems,Request,2 - Normal,3 - High,18,2,3,39,1
7650,432,3 - Senior,Software,Request,2 - Normal,3 - High,2,2,3,7,0
7651,379,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,0,2,1,1,0
7652,860,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7653,443,2 - Regular,Systems,Request,2 - Normal,3 - High,7,2,3,17,1
7654,468,1 - Junior,Systems,Request,2 - Normal,2 - Medium,16,2,2,34,1
7655,1549,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,0,2,1,1,0
7656,770,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,6,2,0,12,1
7657,1262,2 - Regular,Systems,Request,2 - Normal,1 - Low,15,2,1,31,1
7658,156,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7659,802,4 - Management,Systems,Request,2 - Normal,3 - High,8,2,3,19,1
7660,1822,2 - Regular,Systems,Issue,2 - Normal,0 - Unassigned,5,2,0,10,0
7661,71,1 - Junior,Access/Login,Issue,2 - Normal,0 - Unassigned,1,2,0,2,0
7662,509,1 - Junior,Software,Request,2 - Normal,2 - Medium,11,2,2,24,1
7663,63,3 - Senior,Systems,Issue,2 - Normal,3 - High,5,2,3,13,1
7664,1107,2 - Regular,Hardware,Request,2 - Normal,2 - Medium,15,2,2,32,1
7665,326,2 - Regular,Access/Login,Issue,2 - Normal,0 - Unassigned,0,2,0,0,0
7666,649,2 - Regular,Systems,Issue,0 - Unclassified,1 - Low,5,0,1,1,0
7667,1471,3 - Senior,Hardware,Request,2 - Normal,0 - Unassigned,27,2,0,54,1
7668,649,2 - Regular,Hardware,Issue,2 - Normal,2 - Medium,6,2,2,14,1
7669,1282,1 - Junior,Software,Issue,2 - Normal,1 - Low,4,2,1,9,0
7670,617,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
7671,536,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,6,2,0,12,1
7672,448,4 - Management,Systems,Request,2 - Normal,3 - High,8,2,3,19,1
7673,522,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
7674,1387,2 - Regular,Systems,Request,2 - Normal,2 - Medium,14,2,2,30,1
7675,1938,2 - Regular,Systems,Request,2 - Normal,1 - Low,6,2,1,13,1
7676,509,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
7677,1025,3 - Senior,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
7678,1582,2 - Regular,Systems,Request,2 - Normal,2 - Medium,14,2,2,30,1
7679,302,3 - Senior,Systems,Request,2 - Normal,3 - High,5,2,3,13,1
7680,1900,4 - Management,Systems,Request,2 - Normal,3 - High,5,2,3,13,1
7681,434,3 - Senior,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
